"GEO_ID","NAME","P1_001N","P1_001NA",
"Geography","Geographic Area Name"," !!Total","Annotation of  !!Total",
"1400000US26099990100","Census Tract 9901; Macomb County; Michigan","0","null",
"1400000US26125120000","Census Tract 1200; Oakland County; Michigan","2972","null",
"1400000US26125120300","Census Tract 1203; Oakland County; Michigan","3284","null",
"1400000US26125121000","Census Tract 1210; Oakland County; Michigan","3977","null",
"1400000US26125121400","Census Tract 1214; Oakland County; Michigan","4862","null",
"1400000US26125121500","Census Tract 1215; Oakland County; Michigan","3492","null",
"1400000US26125121700","Census Tract 1217; Oakland County; Michigan","5194","null",
"1400000US26125121800","Census Tract 1218; Oakland County; Michigan","4894","null",
"1400000US26125122200","Census Tract 1222; Oakland County; Michigan","3707","null",
"1400000US26125122400","Census Tract 1224; Oakland County; Michigan","6836","null",
"1400000US26125122700","Census Tract 1227; Oakland County; Michigan","3080","null",
"1400000US26125122900","Census Tract 1229; Oakland County; Michigan","1761","null",
"1400000US26125123000","Census Tract 1230; Oakland County; Michigan","2848","null",
"1400000US26125123100","Census Tract 1231; Oakland County; Michigan","3064","null",
"1400000US26125124000","Census Tract 1240; Oakland County; Michigan","6045","null",
"1400000US26125124500","Census Tract 1245; Oakland County; Michigan","5997","null",
"1400000US26125125000","Census Tract 1250; Oakland County; Michigan","3430","null",
"1400000US26125125600","Census Tract 1256; Oakland County; Michigan","2758","null",
"1400000US26125126200","Census Tract 1262; Oakland County; Michigan","2691","null",
"1400000US26125126300","Census Tract 1263; Oakland County; Michigan","5152","null",
"1400000US26125126400","Census Tract 1264; Oakland County; Michigan","3756","null",
"1400000US26125126500","Census Tract 1265; Oakland County; Michigan","3104","null",
"1400000US26125127000","Census Tract 1270; Oakland County; Michigan","5881","null",
"1400000US26125127100","Census Tract 1271; Oakland County; Michigan","5714","null",
"1400000US26125127200","Census Tract 1272; Oakland County; Michigan","1681","null",
"1400000US26125127300","Census Tract 1273; Oakland County; Michigan","4718","null",
"1400000US26125127400","Census Tract 1274; Oakland County; Michigan","1613","null",
"1400000US26125127500","Census Tract 1275; Oakland County; Michigan","6627","null",
"1400000US26125127600","Census Tract 1276; Oakland County; Michigan","5076","null",
"1400000US26125127700","Census Tract 1277; Oakland County; Michigan","6304","null",
"1400000US26125128000","Census Tract 1280; Oakland County; Michigan","3193","null",
"1400000US26125128100","Census Tract 1281; Oakland County; Michigan","2697","null",
"1400000US26125128200","Census Tract 1282; Oakland County; Michigan","3169","null",
"1400000US26125128300","Census Tract 1283; Oakland County; Michigan","4495","null",
"1400000US26125128400","Census Tract 1284; Oakland County; Michigan","3976","null",
"1400000US26125128500","Census Tract 1285; Oakland County; Michigan","3038","null",
"1400000US26125128600","Census Tract 1286; Oakland County; Michigan","3538","null",
"1400000US26125128700","Census Tract 1287; Oakland County; Michigan","2120","null",
"1400000US26125128800","Census Tract 1288; Oakland County; Michigan","1697","null",
"1400000US26125128900","Census Tract 1289; Oakland County; Michigan","7323","null",
"1400000US26125129000","Census Tract 1290; Oakland County; Michigan","2960","null",
"1400000US26125130000","Census Tract 1300; Oakland County; Michigan","3428","null",
"1400000US26125130100","Census Tract 1301; Oakland County; Michigan","2452","null",
"1400000US26125130200","Census Tract 1302; Oakland County; Michigan","5396","null",
"1400000US26125130300","Census Tract 1303; Oakland County; Michigan","4073","null",
"1400000US26125130400","Census Tract 1304; Oakland County; Michigan","2873","null",
"1400000US26125130500","Census Tract 1305; Oakland County; Michigan","2977","null",
"1400000US26125130600","Census Tract 1306; Oakland County; Michigan","3056","null",
